step,episode_score,task_completion,sla_rate,coordination_score,curriculum_difficulty
0,49.0,37.0,0.3243,0.0,1
10,42.5,28.0,0.5179,0.0,2
20,52.0,38.0,0.3684,0.0,3
30,44.5,28.0,0.5893,0.0,4
40,60.0,47.0,0.2766,0.0,5
50,68.0,58.0,0.1724,0.0,6
60,93.0,60.0,0.4917,3.5,7
70,48.0,70.0,-0.3643,3.5,8
80,48.0,70.0,-0.3643,3.5,8
90,34.0,60.0,-0.4917,3.5,8
100,-48.0,60.0,-1.8583,3.5,8
110,48.0,70.0,-0.3643,3.5,8
120,17.0,60.0,-0.775,3.5,8
130,17.0,60.0,-0.775,3.5,8
140,-106.5,50.0,-3.2,3.5,8
150,48.0,70.0,-0.3643,3.5,8
160,48.0,70.0,-0.3643,3.5,8
170,-48.0,60.0,-1.8583,3.5,8
180,34.0,60.0,-0.4917,3.5,8
190,17.0,60.0,-0.775,3.5,8
